,price_per_sqft
0,6733.981999453936
1,7346.162181222474
2,3877.1395688620796
3,22956.75681632023
4,7012.248059944703
5,9550.010835589217
6,7575.722792824642
7,5968.7567722432605
8,5785.102717712699
9,4591.352417289655
10,6611.554058024957
11,13391.449674166897
12,6244.260789715335
13,6060.583799508541
14,6795.200017630788
15,8631.740562936408
16,4132.216226937642
17,10202.998865426525
18,14508.670307914386
19,8417.48265233348
20,13356.662971323243
21,9182.702726528092
22,8264.432453875284
23,3917.9675543311905
24,7786.931912095823
25,8448.086508405846
26,7897.1243448141595
27,7897.1243448141595
28,7346.162181222474
29,9550.010835589217
30,7713.470290283598
31,8448.086508405846
32,8448.086508405846
33,10560.108135507307
34,17517.771355222827
35,8080.748718099408
36,9182.702726528092
37,5509.616576599739
38,5968.7567722432605
39,28695.94602040029
40,7095.727203515473
41,6106.497313141182
42,7346.144192566927
43,7346.162181222474
44,7033.560634567841
45,6437.370069258529
46,8723.567590201688
47,6244.237854039103
48,5101.499432713263
49,6464.622719475778
50,6427.891908569665
51,7562.22087302599
52,8080.778399344722
53,8631.740562936408
54,7621.643263018317
55,8448.086508405846
56,8448.086508405846
57,7529.816235753036
58,7713.470290283598
59,7052.315693973575
60,7070.707070707071
61,7897.1243448141595
62,8668.50321395776
63,6952.625075101469
64,6427.891908569665
65,9090.875699262811
66,8347.914357077027
67,7778.284326541017
68,6611.545963100227
69,9366.356781058656
70,7346.162181222474
71,11019.283746556473
72,10101.0101010101
73,10852.288664200136
74,6427.891908569665
75,6427.891908569665
76,9641.837862854498
77,10713.159739333518
78,8264.432453875284
79,8264.432453875284
80,8631.740562936408
81,6943.013536636715
82,7994.347780056046
83,8570.527791466815
84,8631.740562936408
85,8080.778399344722
86,8080.778399344722
87,7897.1243448141595
88,8264.432453875284
89,11019.243271833711
90,27548.10817958428
91,34894.27036080675
92,3917.9675543311905
93,10982.512460927599
94,6060.583799508541
95,6611.545963100228
96,29384.648724889896
97,9794.918885827976
98,22038.486543667423
99,11806.313491730334
100,8920.325749307363
101,10927.41624456843
102,7254.335153957193
103,12121.212121212122
104,4727.719711681832
105,11019.243271833711
106,7304.422013607929
107,10100.972999180902
108,8631.740562936408
109,9917.31894465034
110,9825.49191738506
111,9051.530758150968
112,10560.108135507307
113,11019.256763374928
114,4861.432955978104
115,5509.621635916856
116,7713.470290283598
117,7860.393533908047
118,8448.086508405846
119,8264.462809917355
120,7713.470290283598
121,6198.324340406462
122,10560.108135507307
123,10835.58921730315
124,4958.65947232517
125,4285.250778997373
126,11019.283746556473
127,8264.432453875284
128,9366.391184573004
129,5739.183933958062
130,4591.351363264046
131,4591.354174000079
132,3305.772981550114
133,5693.275690447417
134,6464.622719475778
135,11937.513544486521
136,7346.162181222474
137,3870.865661183411
138,9641.837862854498
139,6244.237854039103
140,9182.702726528094
141,13774.05408979214
142,9412.270294691296
143,8448.11753902663
144,7805.297317548879
145,9182.702726528092
146,8080.80808080808
147,7346.189164370982
148,8448.11753902663
149,8723.567590201688
150,6905.392450349126
151,8080.80808080808
152,10284.627053711463
153,8668.47137384252
154,7994.347780056046
155,8210.411233571074
156,9182.702726528092
157,8007.346189164371
158,6856.443220079584
159,12121.167599017082
160,10835.58921730315
161,9838.607482851308
162,2901.7340615828775
163,8264.432453875284
164,7346.162181222474
165,9182.702726528092
166,5968.7567722432605
167,6244.237854039103
